row.id,Scoring,Start,Start_Frame,Stop,Stop_Frame,duration,Subject,Behaviour,Value,trial
409,goggle_MaP_Elvis3_2021-11-21 10-31-50,989.4,59364,990.6333333,59438,1.233333333,Elvis3,Looking target,Duration looking transparent,3
410,goggle_MaP_Elvis3_2021-11-21 10-31-50,994.4833333,59669,995.35,59721,0.866666667,Elvis3,Looking target,Duration looking transparent,3
411,goggle_MaP_Elvis3_2021-11-21 10-31-50,996.6166667,59797,1000.55,60033,3.933333333,Elvis3,Looking target,Duration looking opaque,3
412,goggle_MaP_Elvis3_2021-11-21 10-31-50,1000.933333,60056,1001.5,60090,0.566666667,Elvis3,Looking target,Duration looking opaque,3
413,goggle_MaP_Elvis3_2021-11-21 10-31-50,1002.333333,60140,,,,Elvis3,First target choice,First choice opaque,3
414,goggle_MaP_Elvis3_2021-11-21 10-31-50,1005.583333,60335,,,,Elvis3,Inspection behind screen,Inspection behind transparent,3
415,goggle_MaP_Elvis3_2021-11-21 10-31-50,1090.666667,65440,1135.966667,68158,45.3,Elvis3,Trial ,4,4
416,goggle_MaP_Elvis3_2021-11-21 10-31-50,1092.2,65532,,,,Elvis3,First look,First look transparent,4
417,goggle_MaP_Elvis3_2021-11-21 10-31-50,1092.2,65532,1100.216667,66013,8.016666667,Elvis3,Looking target,Duration looking transparent,4
418,goggle_MaP_Elvis3_2021-11-21 10-31-50,1103,66180,1104,66240,1,Elvis3,Looking target,Duration looking transparent,4
419,goggle_MaP_Elvis3_2021-11-21 10-31-50,1105.966667,66358,1106.2,66372,0.233333333,Elvis3,Looking target,Duration looking opaque,4
420,goggle_MaP_Elvis3_2021-11-21 10-31-50,1106.9,66414,,,,Elvis3,First target choice,First choice opaque,4
421,goggle_MaP_Elvis3_2021-11-21 10-31-50,1133.883333,68033,,,,Elvis3,Inspection behind screen,Inspection behind transparent,4
422,goggle_MaP_Dunni_2021-11-25 15-16-11,445.3166667,26719,452.5666667,27154,7.25,Dunni,Manipulation check ,Manipulation check transparent,
423,goggle_MaP_Dunni_2021-11-25 15-16-11,496.9666667,29818,517.9833333,31079,21.01666667,Dunni,Manipulation check ,Manipulation check transparent,
424,goggle_MaP_Dunni_2021-11-25 15-16-11,527.4833333,31649,528.7,31722,1.216666667,Dunni,Manipulation check ,Manipulation check opaque,
425,goggle_MaP_Dunni_2021-11-25 15-16-11,591.1333333,35468,635,38100,43.86666667,Dunni,Trial ,1,1
426,goggle_MaP_Dunni_2021-11-25 15-16-11,591.5333333,35492,,,,Dunni,First look,First look opaque,1
427,goggle_MaP_Dunni_2021-11-25 15-16-11,591.5333333,35492,593.0333333,35582,1.5,Dunni,Looking target,Duration looking opaque,1
428,goggle_MaP_Dunni_2021-11-25 15-16-11,595.1833333,35711,596.2,35772,1.016666667,Dunni,Looking target,Duration looking opaque,1
429,goggle_MaP_Dunni_2021-11-25 15-16-11,596.6,35796,598.2333333,35894,1.633333333,Dunni,Looking target,Duration looking opaque,1
430,goggle_MaP_Dunni_2021-11-25 15-16-11,598.9,35934,599.5333333,35972,0.633333333,Dunni,Looking target,Duration looking transparent,1
431,goggle_MaP_Dunni_2021-11-25 15-16-11,600.1,36006,603.9833333,36239,3.883333333,Dunni,Looking target,Duration looking opaque,1
432,goggle_MaP_Dunni_2021-11-25 15-16-11,604.95,36297,605.2166667,36313,0.266666667,Dunni,Looking target,Duration looking opaque,1
433,goggle_MaP_Dunni_2021-11-25 15-16-11,606.15,36369,,,,Dunni,First target choice,First choice opaque,1
434,goggle_MaP_Dunni_2021-11-25 15-16-11,609.2333333,36554,,,,Dunni,Inspection behind screen,Inspection behind opaque,1
435,goggle_MaP_Dunni_2021-11-25 15-16-11,691.4,41484,735.7166667,44143,44.31666667,Dunni,Trial ,2,2
436,goggle_MaP_Dunni_2021-11-25 15-16-11,691.9666667,41518,,,,Dunni,First look,First look transparent,2
437,goggle_MaP_Dunni_2021-11-25 15-16-11,691.9666667,41518,694.1,41646,2.133333333,Dunni,Looking target,Duration looking transparent,2
438,goggle_MaP_Dunni_2021-11-25 15-16-11,694.5833333,41675,697.2666667,41836,2.683333333,Dunni,Looking target,Duration looking opaque,2
439,goggle_MaP_Dunni_2021-11-25 15-16-11,697.35,41841,700.4333333,42026,3.083333333,Dunni,Looking target,Duration looking transparent,2
440,goggle_MaP_Dunni_2021-11-25 15-16-11,700.55,42033,701.0666667,42064,0.516666667,Dunni,Looking target,Duration looking opaque,2
441,goggle_MaP_Dunni_2021-11-25 15-16-11,701.2333333,42074,704.2833333,42257,3.05,Dunni,Looking target,Duration looking transparent,2
442,goggle_MaP_Dunni_2021-11-25 15-16-11,704.65,42279,705.5,42330,0.85,Dunni,Looking target,Duration looking opaque,2
443,goggle_MaP_Dunni_2021-11-25 15-16-11,706.3833333,42383,,,,Dunni,First target choice,First choice opaque,2
